                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                   1.75,                0.97336,                 1.2607,                 1.8319,                 1.2825,                 1.2041,                0.74201,                0.66118,                0.74092,                0.39807,                 1.6664,                0.91876,                 1.2599,                 1.6928,                 1.1822,                  1.225,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.7556,                0.96251,                 1.2559,                 1.8404,                 1.2545,                 1.1992,                0.73981,                0.67638,                0.75006,                0.40029,                  1.656,                0.90693,                 1.2524,                 1.6827,                 1.1628,                   1.22,              0.0007526,              0.0007526,              0.0007526
                     66,                  1.742,                0.95067,                 1.2479,                 1.8307,                 1.2546,                 1.1937,                0.74427,                0.67718,                 0.7509,                0.40212,                 1.6599,                0.91328,                 1.2522,                 1.6771,                 1.1829,                 1.2114,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.7523,                0.94949,                  1.244,                 1.8535,                 1.2471,                  1.188,                0.74098,                0.66864,                0.74593,                0.39992,                  1.647,                0.91819,                 1.2457,                 1.6646,                 1.1903,                 1.2104,               0.000713,               0.000713,               0.000713
                     68,                 1.7306,                0.94965,                 1.2467,                 1.8151,                 1.2492,                  1.192,                0.74539,                0.66687,                0.74805,                0.40058,                 1.6631,                0.90996,                 1.2521,                 1.6843,                 1.1795,                 1.2183,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.7298,                0.93194,                 1.2351,                 1.8278,                 1.2258,                  1.184,                0.74855,                0.66921,                0.74825,                0.39858,                 1.6615,                0.90735,                 1.2536,                 1.6933,                 1.1656,                 1.2196,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.7534,                0.94131,                 1.2467,                 1.8352,                 1.2346,                 1.1909,                0.75655,                0.66533,                0.74913,                0.39923,                 1.6722,                0.91364,                 1.2563,                  1.686,                 1.1745,                 1.2184,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.7495,                0.93872,                 1.2429,                 1.8423,                 1.2344,                 1.1878,                0.75077,                0.66718,                0.74629,                0.40377,                  1.652,                 0.8953,                 1.2492,                 1.6827,                 1.1608,                 1.2156,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.7328,                0.95419,                 1.2724,                 1.8128,                 1.2573,                 1.2169,                0.74658,                0.67497,                0.75327,                 0.4029,                 1.6442,                0.91188,                 1.2426,                 1.6646,                 1.1658,                 1.2076,               0.000614,               0.000614,               0.000614
                     73,                 1.7235,                0.94232,                 1.2405,                 1.8203,                 1.2396,                 1.1849,                0.75057,                0.68108,                0.75962,                0.41454,                  1.644,                0.88496,                 1.2426,                 1.6586,                 1.1479,                  1.204,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.7166,                0.93139,                 1.2608,                  1.794,                 1.2305,                 1.2086,                0.73539,                0.67287,                0.75443,                0.39695,                 1.6821,                0.91584,                 1.2472,                 1.7064,                 1.1768,                  1.217,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.7122,                0.93359,                  1.244,                 1.8057,                 1.2219,                 1.1972,                0.74415,                0.67272,                0.75149,                 0.4051,                 1.6522,                0.90431,                 1.2371,                 1.6589,                  1.186,                 1.2005,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.7325,                0.93085,                 1.2358,                 1.8239,                 1.2123,                 1.1851,                0.74775,                0.68734,                0.75701,                 0.4043,                 1.6484,                0.89708,                 1.2419,                 1.6766,                 1.1564,                 1.2118,              0.0005348,              0.0005348,              0.0005348
                     77,                   1.69,                0.93036,                 1.2475,                 1.7829,                 1.2102,                 1.1999,                0.74156,                0.68626,                0.75498,                0.40436,                 1.6561,                0.89892,                 1.2455,                 1.6829,                 1.1616,                 1.2126,               0.000515,               0.000515,               0.000515
                     78,                 1.6874,                0.90818,                 1.2246,                 1.7831,                 1.1945,                 1.1764,                0.76119,                0.67749,                0.75787,                0.40841,                 1.6547,                0.88784,                  1.246,                 1.6793,                 1.1405,                 1.2113,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.7393,                0.92414,                 1.2231,                 1.8376,                 1.2136,                 1.1718,                 0.7669,                 0.6801,                0.76156,                0.41373,                 1.6369,                0.88622,                 1.2401,                 1.6638,                 1.1329,                 1.2086,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.6997,                0.92393,                 1.2432,                 1.7991,                 1.2016,                 1.1935,                0.75107,                0.68103,                0.75549,                0.40706,                 1.6471,                0.89516,                  1.243,                 1.6682,                 1.1517,                  1.209,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.7132,                0.91901,                 1.2308,                 1.8161,                 1.2043,                 1.1793,                0.76093,                 0.6778,                0.76095,                0.40745,                 1.6524,                0.89027,                 1.2424,                  1.682,                 1.1409,                 1.2135,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.7229,                 0.9179,                 1.2336,                 1.8192,                  1.202,                 1.1798,                0.75469,                0.68995,                0.76485,                0.41583,                 1.6351,                 0.8877,                 1.2341,                 1.6509,                 1.1482,                 1.2018,               0.000416,               0.000416,               0.000416
                     83,                 1.7083,                0.92664,                 1.2355,                 1.7946,                 1.2135,                 1.1819,                0.74714,                0.69243,                 0.7638,                0.41006,                 1.6385,                0.89567,                  1.235,                 1.6532,                  1.165,                 1.2032,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.7211,                0.91452,                 1.2172,                 1.8127,                  1.192,                 1.1613,                0.75921,                0.68349,                0.76223,                0.41454,                 1.6332,                0.88369,                  1.238,                 1.6502,                 1.1386,                 1.2011,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.6957,                0.90369,                 1.2225,                  1.787,                 1.1837,                 1.1775,                0.76636,                0.67164,                0.76353,                0.41432,                 1.6305,                0.88078,                 1.2342,                 1.6557,                 1.1312,                 1.2028,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.6999,                0.90673,                 1.2314,                 1.7919,                 1.1852,                 1.1817,                0.76295,                0.67857,                0.76095,                0.41169,                  1.632,                0.88466,                 1.2394,                 1.6634,                 1.1312,                 1.2071,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.6844,                0.90946,                 1.2439,                 1.7802,                 1.1961,                  1.197,                0.75727,                0.69011,                 0.7673,                0.41726,                 1.6297,                 0.8747,                 1.2366,                 1.6534,                 1.1269,                 1.2029,               0.000317,               0.000317,               0.000317
                     88,                 1.7073,                0.93249,                 1.2468,                 1.8062,                 1.2148,                 1.1925,                0.76237,                0.68903,                0.76925,                0.41649,                 1.6286,                0.88363,                 1.2339,                 1.6545,                  1.139,                 1.2044,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.7059,                 0.9219,                 1.2304,                 1.7943,                 1.2025,                 1.1812,                0.76489,                0.67472,                0.76394,                0.41809,                 1.6216,                0.87771,                 1.2328,                 1.6463,                 1.1307,                 1.2015,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.6821,                0.90526,                 1.2298,                 1.7758,                  1.182,                 1.1771,                0.76112,                0.68441,                0.76522,                0.41717,                 1.6168,                0.88094,                 1.2301,                 1.6425,                 1.1418,                 1.1981,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.6854,                0.94089,                 1.2639,                 1.7521,                 1.1909,                 1.2159,                 0.7604,                0.68855,                0.76666,                0.41289,                 1.6359,                0.89382,                 1.2343,                  1.663,                 1.1347,                 1.2076,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.6888,                0.93575,                 1.2703,                 1.7452,                 1.1868,                 1.2196,                0.76018,                0.68103,                0.76522,                0.41873,                 1.6336,                0.88954,                 1.2326,                 1.6603,                 1.1288,                 1.2031,               0.000218,               0.000218,               0.000218
                     93,                 1.6863,                0.94538,                 1.2896,                 1.7481,                 1.1989,                 1.2395,                0.76502,                0.68732,                0.77195,                0.41883,                 1.6336,                0.88096,                 1.2313,                 1.6592,                 1.1224,                 1.2039,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.6857,                0.92532,                 1.2673,                 1.7445,                 1.1796,                 1.2138,                 0.7657,                0.68734,                0.77279,                0.42062,                 1.6262,                0.88032,                 1.2279,                 1.6496,                 1.1211,                 1.1989,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.6676,                0.92639,                 1.2656,                 1.7269,                 1.1855,                 1.2141,                0.76526,                0.69241,                0.76938,                0.41793,                 1.6263,                0.88667,                 1.2297,                 1.6472,                 1.1358,                 1.1982,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.6684,                0.93957,                 1.2714,                 1.7356,                 1.2014,                 1.2242,                0.75654,                0.69283,                0.76648,                0.41808,                 1.6284,                0.87728,                 1.2322,                 1.6524,                 1.1265,                 1.1989,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.6812,                0.93423,                  1.273,                 1.7419,                 1.2015,                 1.2203,                0.76411,                0.68749,                0.76994,                0.42105,                 1.6199,                0.88261,                 1.2273,                 1.6471,                 1.1208,                 1.1968,               0.000119,               0.000119,               0.000119
                     98,                 1.6565,                0.91653,                 1.2665,                 1.7035,                  1.173,                 1.2177,                0.76116,                0.68995,                0.76915,                 0.4186,                 1.6327,                0.88153,                 1.2311,                 1.6519,                  1.124,                 1.1967,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.6685,                0.92897,                 1.2744,                 1.7251,                 1.1924,                 1.2218,                0.76602,                0.68888,                0.76848,                0.42107,                 1.6226,                 0.8763,                 1.2311,                 1.6456,                 1.1146,                 1.1978,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.6611,                0.92597,                 1.2593,                 1.7294,                 1.1906,                 1.2126,                0.76693,                0.69657,                0.77264,                0.42083,                 1.6273,                0.88061,                 1.2284,                 1.6507,                 1.1197,                 1.1954,               5.96e-05,               5.96e-05,               5.96e-05
